Distance,T1_LW_Avg,T1_LW_Std,T1_LT_Avg,T1_LT_Std,T1_DC_Avg,T1_DC_Std,T2_LW_Avg,T2_LW_Std,T2_LT_Avg,T2_LT_Std,T2_DC_Avg,T2_DC_Std
500,144.331,25.4812,1861.72,553.304,7.67496,5.68798,140.083,25.422,440.342,336.17,7.03357,5.45639
600,171.989,29.3021,1901.98,562.278,8.57963,6.35232,165.98,29.2251,447.578,341.624,8.00626,6.24341
700,199.78,33.2764,1942.1,571.253,9.5393,7.05539,191.688,33.1822,454.815,347.086,9.00298,7.04704
800,227.707,37.3553,1982.1,580.227,10.5366,7.80207,217.174,37.2441,462.955,352.639,10.252,8.03985
900,255.768,41.5079,2021.95,589.202,11.5608,8.59463,242.539,41.3801,470.24,358.126,11.6039,9.057
1000,283.963,45.7142,2061.67,598.177,12.6196,9.41503,267.715,45.5698,477.532,363.618,12.8769,9.9951
