ClockOffset,T1_LW_Avg,T1_LW_Std,T1_LT_Avg,T1_LT_Std,T1_DC_Avg,T1_DC_Std,T2_LW_Avg,T2_LW_Std,T2_LT_Avg,T2_LT_Std,T2_DC_Avg,T2_DC_Std
0.02,144.525,26.5466,569.982,434.366,8.05069,5.95121,133.651,25.5581,589.841,445.913,7.27429,5.51528
0.05,144.525,26.5466,570.528,435.092,8.05369,5.95153,133.651,25.5581,591.786,447.333,7.27137,5.51284
1,144.525,26.5466,826.748,601.833,8.20788,6.01058,133.651,25.5581,654.591,492.423,7.21308,5.46821
5,144.525,26.5466,3554.42,1045.93,10.4636,7.29059,133.651,25.5581,931.014,690.123,7.53169,5.59594
10,144.525,26.5466,7171.03,1378.2,16.778,9.23554,133.651,25.5581,1288.82,946.041,7.96398,5.81685
20,144.525,26.5466,14404.3,2042.77,34.9662,9.9096,133.651,25.5581,2019.73,1464.83,7.36508,5.60063
