Vel_Noise,T1_LW_Avg,T1_LW_Std,T1_LT_Avg,T1_LT_Std,T1_DC_Avg,T1_DC_Std,T2_LW_Avg,T2_LW_Std,T2_LT_Avg,T2_LT_Std,T2_DC_Avg,T2_DC_Std
0,144.365,14.4336,40.1949,18.5294,4.76758,3.69879,133.501,14.457,181.498,19.0511,4.92267,3.8322
0.1,144.445,18.1309,287.021,218.075,5.74138,4.28697,133.576,17.7921,324.184,239.159,5.56573,4.21309
0.2,144.525,26.5466,569.982,434.366,8.05069,5.95121,133.651,25.5581,589.841,445.913,7.27429,5.51528
0.3,144.605,36.5555,853.835,650.975,10.874,8.05199,133.726,34.9138,867.653,658.675,9.49822,7.24711
0.4,144.696,47.1232,1137.97,867.585,13.9216,10.2991,133.82,44.8174,1148.32,873.74,11.9878,9.12297
0.5,145.048,57.3096,1422.22,1084.18,17.0613,12.6316,134.196,54.3309,1430.48,1089.32,14.6179,11.0568
