Jitter,T1_LW_Avg,T1_LW_Std,T1_LT_Avg,T1_LT_Std,T1_DC_Avg,T1_DC_Std,T2_LW_Avg,T2_LW_Std,T2_LT_Avg,T2_LT_Std,T2_DC_Avg,T2_DC_Std
10,143.981,23.5768,569.851,434.346,6.98525,5.15617,133.106,22.4378,589.458,446.08,6.02971,4.62405
20,144.525,26.5466,569.982,434.366,8.05069,5.95121,133.651,25.5581,589.841,445.913,7.27429,5.51528
30,145.07,30.9475,570.203,434.478,9.60853,7.13728,134.196,30.1244,590.353,445.777,9.00897,6.78266
40,145.614,36.2621,570.558,434.622,11.4523,8.56315,134.741,35.5844,590.991,445.68,10.9854,8.28
50,146.159,42.146,571.038,434.81,13.4832,10.1038,135.308,41.5172,591.646,445.762,13.101,9.89497
