Distance,T1_LW_Avg,T1_LW_Std,T1_LT_Avg,T1_LT_Std,T1_DC_Avg,T1_DC_Std,T2_LW_Avg,T2_LW_Std,T2_LT_Avg,T2_LT_Std,T2_DC_Avg,T2_DC_Std
500,144.525,26.5466,569.982,434.366,8.05069,5.95121,139.468,26.4863,589.841,445.913,7.27429,5.51528
600,172.104,30.4235,579.985,441.407,8.97871,6.61792,166.264,30.3453,595.927,450.722,8.11975,6.1856
700,199.816,34.4558,591.568,449.22,9.96201,7.32898,193.059,34.3601,601.706,455.302,9.03292,6.88798
800,227.664,38.5947,604.486,457.94,10.9958,8.07204,216.523,38.4818,625.106,469.436,10.9812,8.30905
900,255.646,42.8094,618.467,467.731,12.0673,8.85191,243.318,42.6795,629.741,473.673,11.9917,9.09127
1000,283.762,47.0796,633.934,477.845,13.1793,9.65652,265.673,46.9329,634.266,477.956,13.0141,9.87451
