ClockSkew,T1_LW_Avg,T1_LW_Std,T1_LT_Avg,T1_LT_Std,T1_DC_Avg,T1_DC_Std,T2_LW_Avg,T2_LW_Std,T2_LT_Avg,T2_LT_Std,T2_DC_Avg,T2_DC_Std
100,74.0802,26.4761,569.919,434.308,8.07248,5.95351,66.4692,25.4296,589.731,445.831,7.25918,5.50257
200,144.525,26.5466,569.982,434.366,8.05069,5.95121,133.651,25.5581,589.841,445.913,7.27429,5.51528
400,285.467,26.5425,570.108,434.486,8.02218,5.95831,268.114,25.5541,590.061,446.076,7.30903,5.54265
800,567.352,26.5341,570.364,434.729,8.02412,5.99877,537.041,25.5463,590.501,446.404,7.39325,5.60051
1600,1131.12,26.5175,570.905,435.214,8.18436,6.12596,1074.9,25.5307,591.381,447.059,7.57555,5.72503
3200,2258.66,26.4841,572.072,436.218,8.52957,6.38762,2150.6,25.4991,593.144,448.371,7.82543,5.88605
