Run,Velocity,Protocol,Metric,Value
65,0.5,LW-Sync,Skew,65.1241
66,0.5,LW-Sync,Offset,139.671
66,0.5,LW-Sync,Skew,13.2592
67,0.5,LW-Sync,Offset,152.683
67,0.5,LW-Sync,Skew,71.8387
68,0.5,LW-Sync,Offset,131.465
68,0.5,LW-Sync,Skew,51.3194
69,0.5,LW-Sync,Offset,117.555
69,0.5,LW-Sync,Skew,93.6113
72,0.5,LW-Sync,Offset,133.913
72,0.5,LW-Sync,Skew,102.209
70,0.5,LW-Sync,Offset,122.146
70,0.5,LW-Sync,Skew,76.7872
71,0.5,LW-Sync,Offset,121.572
71,0.5,LW-Sync,Skew,27.6784
73,0.5,LW-Sync,Offset,134.467
73,0.5,LW-Sync,Skew,31.3899
74,0.5,LW-Sync,Offset,120.366
74,0.5,LW-Sync,Skew,5.47459
75,0.5,LW-Sync,Offset,132.745
75,0.5,LW-Sync,Skew,32.0043
76,0.5,LW-Sync,Offset,137.201
76,0.5,LW-Sync,Skew,46.4901
77,0.5,LW-Sync,Offset,152.445
77,0.5,LW-Sync,Skew,51.8665
79,0.5,LW-Sync,Offset,179.518
79,0.5,LW-Sync,Skew,17.4596
78,0.5,LW-Sync,Offset,144.429
78,0.5,LW-Sync,Skew,25.176
80,0.5,LW-Sync,Offset,104.997
80,0.5,LW-Sync,Skew,83.9365
81,0.5,LW-Sync,Offset,152.993
81,0.5,LW-Sync,Skew,17.6145
84,0.5,LW-Sync,Offset,161.517
84,0.5,LW-Sync,Skew,64.815
83,0.5,LW-Sync,Offset,121.884
83,0.5,LW-Sync,Skew,14.9986
82,0.5,LW-Sync,Offset,184.982
82,0.5,LW-Sync,Skew,64.333
85,0.5,LW-Sync,Offset,154.671
85,0.5,LW-Sync,Skew,100.494
87,0.5,LW-Sync,Offset,105.024
87,0.5,LW-Sync,Skew,29.735
86,0.5,LW-Sync,Offset,144.625
86,0.5,LW-Sync,Skew,28.1771
89,0.5,LW-Sync,Offset,133.687
89,0.5,LW-Sync,Skew,14.9466
88,0.5,LW-Sync,Offset,126.925
88,0.5,LW-Sync,Skew,3.58001
92,0.5,LW-Sync,Offset,180.284
92,0.5,LW-Sync,Skew,17.5988
91,0.5,LW-Sync,Offset,142.387
91,0.5,LW-Sync,Skew,46.7205
90,0.5,LW-Sync,Offset,164.205
90,0.5,LW-Sync,Skew,22.0049
93,0.5,LW-Sync,Offset,161.081
93,0.5,LW-Sync,Skew,90.0281
94,0.5,LW-Sync,Offset,112.331
94,0.5,LW-Sync,Skew,26.7369
95,0.5,LW-Sync,Offset,169.751
95,0.5,LW-Sync,Skew,47.0617
96,0.5,LW-Sync,Offset,144.416
96,0.5,LW-Sync,Skew,30.6303
97,0.5,LW-Sync,Offset,156.191
97,0.5,LW-Sync,Skew,64.5273
99,0.5,LW-Sync,Offset,134.326
99,0.5,LW-Sync,Skew,84.524
98,0.5,LW-Sync,Offset,175.522
98,0.5,LW-Sync,Skew,56.1914
100,0.5,LW-Sync,Offset,96.5727
100,0.5,LW-Sync,Skew,44.3593
102,0.5,LW-Sync,Offset,186.604
102,0.5,LW-Sync,Skew,15.0518
101,0.5,LW-Sync,Offset,134.29
101,0.5,LW-Sync,Skew,88.8823
104,0.5,LW-Sync,Offset,171.027
104,0.5,LW-Sync,Skew,87.9077
105,0.5,LW-Sync,Offset,131.727
105,0.5,LW-Sync,Skew,32.7968
103,0.5,LW-Sync,Offset,150.935
103,0.5,LW-Sync,Skew,23.3874
106,0.5,LW-Sync,Offset,130.054
106,0.5,LW-Sync,Skew,13.4779
107,0.5,LW-Sync,Offset,159.931
107,0.5,LW-Sync,Skew,39.5918
108,0.5,LW-Sync,Offset,79.8831
108,0.5,LW-Sync,Skew,76.8672
109,0.5,LW-Sync,Offset,139.132
109,0.5,LW-Sync,Skew,1.08123
111,0.5,LW-Sync,Offset,154.254
111,0.5,LW-Sync,Skew,1.01724
110,0.5,LW-Sync,Offset,158.494
110,0.5,LW-Sync,Skew,51.7896
112,0.5,LW-Sync,Offset,162.704
112,0.5,LW-Sync,Skew,12.1098
113,0.5,LW-Sync,Offset,141.644
113,0.5,LW-Sync,Skew,30.4843
114,0.5,LW-Sync,Offset,172.798
114,0.5,LW-Sync,Skew,65.1242
115,0.5,LW-Sync,Offset,130.061
115,0.5,LW-Sync,Skew,62.915
116,0.5,LW-Sync,Offset,143.938
116,0.5,LW-Sync,Skew,13.1362
117,0.5,LW-Sync,Offset,167.662
117,0.5,LW-Sync,Skew,16.6018
118,0.5,LW-Sync,Offset,125.663
118,0.5,LW-Sync,Skew,13.1191
119,0.5,LW-Sync,Offset,139.258
119,0.5,LW-Sync,Skew,43.5271
122,0.5,LW-Sync,Offset,137.746
122,0.5,LW-Sync,Skew,18.3795
120,0.5,LW-Sync,Offset,116.389
120,0.5,LW-Sync,Skew,39.0427
121,0.5,LW-Sync,Offset,111.28
121,0.5,LW-Sync,Skew,26.4631
123,0.5,LW-Sync,Offset,143.906
123,0.5,LW-Sync,Skew,42.8634
125,0.5,LW-Sync,Offset,146.773
125,0.5,LW-Sync,Skew,11.4252
124,0.5,LW-Sync,Offset,105.348
124,0.5,LW-Sync,Skew,59.9223
126,0.5,LW-Sync,Offset,191.117
126,0.5,LW-Sync,Skew,54.7505
127,0.5,LW-Sync,Offset,150.833
127,0.5,LW-Sync,Skew,45.3222
129,0.5,LW-Sync,Offset,147.609
129,0.5,LW-Sync,Skew,0.402765
128,0.5,LW-Sync,Offset,115.723
128,0.5,LW-Sync,Skew,25.0609
130,0.5,LW-Sync,Offset,152.448
130,0.5,LW-Sync,Skew,31.3596
131,0.5,LW-Sync,Offset,132.663
131,0.5,LW-Sync,Skew,19.2154
132,0.5,LW-Sync,Offset,146.491
132,0.5,LW-Sync,Skew,75.3408
133,0.5,LW-Sync,Offset,94.417
133,0.5,LW-Sync,Skew,31.0113
135,0.5,LW-Sync,Offset,160.389
135,0.5,LW-Sync,Skew,24.826
136,0.5,LW-Sync,Offset,185.245
136,0.5,LW-Sync,Skew,13.6579
137,0.5,LW-Sync,Offset,113.91
137,0.5,LW-Sync,Skew,5.59161
138,0.5,LW-Sync,Offset,141.797
